FSC-HLin,SSC-HLin,GRN-B-HLin,YEL-B-HLin,RED-B-HLin,RED-R-HLin,RED-B-ALin,RED-B-W,FSC-HLog,SSC-HLog,GRN-B-HLog,YEL-B-HLog,RED-B-HLog,RED-R-HLog,RED-B-ALog,RED-B-WLog,TIME,,Syms
27.886250,128.132431,4.085954,1.692973,11.200139,37.211475,22.315643,0.000000,1.445390,2.107659,0.611293,0.228650,1.049223,1.570677,1.348609,0.000000,28.000000,,0
13.614707,57.567234,2.867877,1.011466,0.000000,29.061153,8.969836,0.000000,1.134008,1.760175,0.457561,0.004951,0.000000,1.463313,0.952785,0.000000,63.000000,,0
16.103283,147.418137,0.000000,1.026885,0.000000,22.135077,30.977911,0.000000,1.206914,2.168551,0.000000,0.011522,0.000000,1.345081,1.491052,0.000000,127.000000,,0
28.102112,225.091339,2.932636,1.236579,14.764941,56.074707,17.831211,99998.000000,1.448739,2.352359,0.467258,0.092222,1.169232,1.748767,1.251181,4.999991,200.000000,,0
37.180637,318.741394,1.603544,0.659920,10.944189,13.290914,5.789288,99998.000000,1.570317,2.503438,0.205081,0.000000,1.039184,1.123555,0.762625,4.999991,316.000000,,0
55.476460,495.982361,2.152450,2.312804,0.000000,48.232758,9.439045,0.000000,1.744109,2.695466,0.332933,0.364139,0.000000,1.683342,0.974928,0.000000,346.000000,,0
34.093815,45.793522,0.804856,1.110146,12.088256,97.350548,9.929317,0.000000,1.532676,1.660804,0.000000,0.045380,1.082364,1.988338,0.996919,0.000000,411.000000,,0
16.430161,0.000000,0.000000,0.000000,5.368789,32.798645,9.980154,0.000000,1.215642,0.000000,0.000000,0.000000,0.729876,1.515856,0.999137,0.000000,422.000000,,0
10.635815,0.000000,0.000000,0.000000,0.000000,676.319397,17.010073,99998.000000,1.026771,0.000000,0.000000,0.000000,0.000000,2.830152,1.230706,4.999991,542.000000,,0
69.488968,1846.505737,1.868746,0.863447,31.010077,1353.363525,16.129562,99998.000000,1.841916,3.266351,0.271550,0.000000,1.491503,3.131414,1.207623,4.999991,554.000000,,0
94.177383,1535.871460,3.099157,2.254213,15.357019,143.233490,7.653600,39672.781250,1.973947,3.186355,0.491244,0.352995,1.186307,2.156044,0.883866,4.598493,629.000000,,0
768.406006,7580.749023,66.775276,52.556160,362.660004,3685.077148,405.037994,50000.511719,2.885591,3.879712,1.824616,1.720624,2.559500,3.566447,2.607496,4.698975,736.000000,,0
16.630604,0.000000,0.000000,0.000000,0.000000,91.105980,10.705245,0.000000,1.220908,0.000000,0.000000,0.000000,0.000000,1.959547,1.029597,0.000000,789.000000,,0
44.689541,399.159149,1.214993,2.775365,6.676294,27.728979,4.578642,99998.000000,1.650206,2.601146,0.084574,0.443320,0.824535,1.442934,0.660737,4.999991,819.000000,,0
14.286962,0.000000,0.548905,0.866531,0.000000,0.000000,10.058570,0.000000,1.154940,0.000000,0.000000,0.000000,0.000000,0.000000,1.002536,0.000000,862.000000,,0
